Phase Shift Index,Main Lobe Direction (deg),Main Lobe Magnitude (norm),Side Grating Level,Main Lobe Quality
0,0.5013927576601613,1.0,0.03487251620009483,0.9998110651107962
6,-2.5069637883008573,0.9972203750154301,0.04155209658711242,0.9974906360406471
48,0.5013927576601613,0.9925028846358813,0.034556010092356974,0.9923153662133382
54,-2.5069637883008573,0.9947223027993637,0.04093283158589503,0.9949918868111792
74,16.5459610027855,0.9767681167527908,0.12367092450112595,0.9972293053680313
364,-19.554317548746546,0.9669421540431063,0.16115926178889883,0.9954719257074296
384,0.5013927576601613,0.9925028846358813,0.034556010092356974,0.9923153662133382
390,-2.5069637883008573,0.9947223027993637,0.04093283158589503,0.9949918868111792
438,-2.5069637883008573,0.9972203750154303,0.04155209658711241,0.9974906360406472
505,8.523676880222819,0.9885484954534386,0.06259892589930144,0.9938363009102805
517,-19.554317548746546,0.9669421540431067,0.16115926178889878,0.9954719257074299
565,-19.554317548746546,0.9645100834572078,0.15583724314307323,0.9929680965181884
585,-0.5013927576601868,0.9999999999999998,0.03487251620009483,0.999811065110796
591,-2.5069637883008573,0.9972203750154301,0.04155209658711241,0.9974906360406471
633,0.5013927576601613,0.9925028846358811,0.034556010092356974,0.9923153662133379
639,-2.5069637883008573,0.9947223027993637,0.040932831585895016,0.9949918868111792
659,16.5459610027855,0.976768116752791,0.12367092450112599,0.9972293053680314
901,-19.554317548746546,0.9645100834572078,0.15583724314307323,0.9929680965181884
949,-19.554317548746546,0.9669421540431065,0.1611592617888988,0.9954719257074297
969,0.5013927576601613,0.9925028846358811,0.034556010092356974,0.9923153662133379
975,-2.5069637883008573,0.9947223027993637,0.04093283158589502,0.9949918868111792
1016,-8.523676880222869,0.9885484954534383,0.06259892589930141,0.9938363009102803
1023,-2.5069637883008573,0.9972203750154301,0.041552096587112404,0.9974906360406471
1096,-16.54596100278553,0.9767681167527908,0.12367092450112592,0.9972293053680313
1102,-19.554317548746546,0.9669421540431066,0.16115926178889872,0.9954719257074298
1150,-19.554317548746546,0.9645100834572078,0.15583724314307335,0.9929680965181884
1170,-0.5013927576601868,0.9999999999999998,0.03487251620009482,0.999811065110796
1244,16.5459610027855,0.9767681167527907,0.12367092450112593,0.9972293053680312
1486,-19.554317548746546,0.9645100834572078,0.15583724314307335,0.9929680965181884
1534,-19.554317548746546,0.9669421540431065,0.16115926178889875,0.9954719257074297
1681,-16.54596100278553,0.9767681167527908,0.12367092450112592,0.9972293053680313
1687,-19.554317548746546,0.9669421540431066,0.16115926178889875,0.9954719257074298
1755,0.5013927576601613,0.9999999999999998,0.03487251620009482,0.999811065110796
1829,16.5459610027855,0.9767681167527907,0.12367092450112598,0.9972293053680312
2266,-16.54596100278553,0.9767681167527907,0.12367092450112593,0.9972293053680312
2340,0.5013927576601613,1.0,0.034872516200094815,0.9998110651107962
2408,19.554317548746496,0.9669421540431066,0.16115926178889875,0.9954719257074296
2414,16.5459610027855,0.9767681167527907,0.12367092450112596,0.9972293053680312
2561,19.554317548746496,0.9669421540431067,0.16115926178889878,0.9954719257074297
2609,19.554317548746496,0.964510083457208,0.15583724314307318,0.9929680965181884
2851,-16.54596100278553,0.9767681167527907,0.12367092450112593,0.9972293053680312
2925,-0.5013927576601868,0.9999999999999998,0.03487251620009482,0.999811065110796
2945,19.554317548746496,0.9645100834572079,0.15583724314307318,0.9929680965181883
2993,19.554317548746496,0.9669421540431067,0.16115926178889878,0.9954719257074297
2999,16.5459610027855,0.9767681167527908,0.12367092450112593,0.9972293053680313
3072,2.5069637883008067,0.99722037501543,0.04155209658711242,0.997490636040647
3079,8.523676880222819,0.9885484954534385,0.06259892589930142,0.9938363009102804
3120,2.5069637883008067,0.9947223027993637,0.04093283158589502,0.9949918868111792
3126,0.5013927576601613,0.9925028846358811,0.034556010092356974,0.9923153662133379
3146,19.554317548746496,0.9669421540431066,0.1611592617888988,0.9954719257074296
3194,19.554317548746496,0.9645100834572078,0.1558372431430732,0.9929680965181882
3436,-16.54596100278553,0.976768116752791,0.12367092450112596,0.9972293053680314
3456,2.5069637883008067,0.9947223027993637,0.04093283158589502,0.9949918868111792
3462,0.5013927576601613,0.9925028846358811,0.034556010092356974,0.9923153662133379
3504,2.5069637883008067,0.9972203750154301,0.04155209658711241,0.9974906360406471
3510,0.5013927576601613,0.9999999999999999,0.034872516200094815,0.9998110651107961
3530,19.554317548746496,0.9645100834572079,0.1558372431430732,0.9929680965181883
3578,19.554317548746496,0.9669421540431067,0.16115926178889878,0.9954719257074297
3590,-8.523676880222869,0.9885484954534384,0.0625989258993014,0.9938363009102804
3657,2.5069637883008067,0.9972203750154301,0.04155209658711242,0.9974906360406471
3705,2.5069637883008067,0.9947223027993638,0.04093283158589502,0.9949918868111793
3711,0.5013927576601613,0.9925028846358812,0.03455601009235697,0.992315366213338
3731,19.554317548746496,0.9669421540431066,0.1611592617888988,0.9954719257074296
4021,-16.54596100278553,0.9767681167527908,0.12367092450112592,0.9972293053680313
4041,2.5069637883008067,0.9947223027993638,0.04093283158589502,0.9949918868111793
4047,0.5013927576601613,0.9925028846358812,0.03455601009235697,0.992315366213338
4089,2.5069637883008067,0.9972203750154301,0.04155209658711241,0.9974906360406471
4095,0.5013927576601613,0.9999999999999999,0.03487251620009482,0.9998110651107961
